,Date,User,Tweet,Comment,RT,Like,negative,neutral,positif,Statement,match_neg,match_neut,match_pos,Fin_statement
0,2022-10-14 14:14:17+00:00,AVindman,.@LucidMotors makes pretty sweet electric cars. I hear these are MUCH better then @Tesla https://t.co/D9hELrrs42,67,141,922,0.0037129498,0.02543805,0.970849,0.970849,False,False,True,positif
1,2022-10-14 04:57:58+00:00,RobertPicardo,"Cancelled my @Tesla order. If @elonmusk buys @twitter so he can help destroy America by restoring more “free speech” (hate speech, conspiracy theories, Trump-lies and sedition) to the platform, I’ll be happy with. @ChevyElectric . 🖖🏽 https://t.co/ChpZSmmqtt",68,28,784,0.72474223,0.23754293,0.037714895,0.72474223,True,False,False,negatif
2,2022-10-14 01:23:37+00:00,Jason,"The @tesla FSD beta is very impressive 

you really need to take it seriously if you want to keep it — they kick you out if you use a hand held device while driving or your inattentive (the software checks you on the cabin camera)

Self driving drivers must be 100x safer that non https://t.co/nVeXqMZhCp",49,40,487,0.048394714,0.1836226,0.76798266,0.76798266,False,False,True,positif
3,2022-10-14 01:07:26+00:00,hsumacher,First pic of the made in Germany Model Y for Taiwan in the parking lot of Tesla Neihu Center. @tesla @elonmusk https://t.co/30L4KYc9n4,28,35,524,0.0038358814,0.7407329,0.25543126,0.7407329,False,True,False,neutral
4,2022-10-13 18:53:10+00:00,SawyerMerritt,Cathie Wood: @Tesla 'is a solution' to the economy's problems. https://t.co/56MUPLHGFj,72,197,1439,0.05819672,0.56098855,0.38081467,0.56098855,False,True,False,neutral
5,2022-10-13 17:04:04+00:00,EstherKokkelman,A very high @Tesla T here in The Netherlands. Welcome in The Netherlands Tesla Utrecht! @elonmusk @Kristennetten (more to come) https://t.co/tA3QH2lvpy,24,39,375,0.0006599282,0.027044337,0.97229576,0.97229576,False,False,True,positif
6,2022-10-13 16:45:12+00:00,EZebroni,The infamous yoke steering strikes again! Is this covered under warranty? @tesla @elonmusk https://t.co/hVYV21z2rR,113,21,333,0.6899334,0.29187194,0.018194607,0.6899334,True,False,False,negatif
7,2022-10-13 15:37:50+00:00,trav_is_jackson,"To all my friends and followers, can you please help me identify the manufacturer of these @Tesla aftermarket wheels? I thought they were Martian's, but they don't come in gloss black on their website... 🔌🔋✌🏾 https://t.co/NPQAIM6TE9",32,18,233,0.33720633,0.57202476,0.09076889,0.57202476,False,True,False,neutral
8,2022-10-12 22:28:53+00:00,BLKMDL3,Yoke peeling getting worse by the day. @Tesla Service will be swapping it out under warranty thankfully! https://t.co/GzGaLILOLN,28,1,168,0.2644226,0.4164486,0.3191288,0.4164486,False,True,False,neutral
9,2022-10-12 20:41:17+00:00,SawyerMerritt,NEWS: Euro NCAP has found no evidence @Tesla attempted to cheat safety tests. @elonmusk https://t.co/gwT3yNLApD,27,109,1049,0.21171923,0.725542,0.06273874,0.725542,False,True,False,neutral
